sitename,cultivar
MAC Field Scanner Season 4 Range 9 Column 14,PI585961
MAC Field Scanner Season 4 Range 9 Column 15,PI563350
MAC Field Scanner Season 4 Range 9 Column 16,PI563350
MAC Field Scanner Season 4 Range 9 Column 17,PI643016
MAC Field Scanner Season 4 Range 9 Column 18,PI643016
MAC Field Scanner Season 4 Range 9 Column 19,PI329319
MAC Field Scanner Season 4 Range 9 Column 20,PI329319
MAC Field Scanner Season 4 Range 9 Column 21,PI570431
MAC Field Scanner Season 4 Range 9 Column 22,PI570431
MAC Field Scanner Season 4 Range 9 Column 23,PI257600
MAC Field Scanner Season 4 Range 9 Column 24,PI257600
MAC Field Scanner Season 4 Range 9 Column 25,PI276837
MAC Field Scanner Season 4 Range 9 Column 26,PI276837
MAC Field Scanner Season 4 Range 9 Column 27,Unknown_PI329440
MAC Field Scanner Season 4 Range 9 Column 28,Unknown_PI329440
MAC Field Scanner Season 4 Range 9 Column 29,PI569454
MAC Field Scanner Season 4 Range 9 Column 30,PI569454
MAC Field Scanner Season 4 Range 10 Column 3,PI641807
MAC Field Scanner Season 4 Range 10 Column 4,PI641807
MAC Field Scanner Season 4 Range 10 Column 5,PI175919
MAC Field Scanner Season 4 Range 10 Column 6,PI175919
MAC Field Scanner Season 4 Range 10 Column 7,PI297155
MAC Field Scanner Season 4 Range 10 Column 8,PI297155
MAC Field Scanner Season 4 Range 10 Column 9,PI641821
MAC Field Scanner Season 4 Range 10 Column 10,PI641821
MAC Field Scanner Season 4 Range 10 Column 11,PI179749
MAC Field Scanner Season 4 Range 10 Column 12,PI179749
MAC Field Scanner Season 4 Range 10 Column 13,PI255744
MAC Field Scanner Season 4 Range 10 Column 14,PI255744
MAC Field Scanner Season 4 Range 10 Column 15,PI586435
MAC Field Scanner Season 4 Range 10 Column 16,PI586435
MAC Field Scanner Season 4 Range 10 Column 17,PI641909
MAC Field Scanner Season 4 Range 10 Column 18,PI641909
MAC Field Scanner Season 4 Range 10 Column 19,PI152816
MAC Field Scanner Season 4 Range 10 Column 20,PI152816
MAC Field Scanner Season 4 Range 10 Column 21,PI195754
MAC Field Scanner Season 4 Range 10 Column 22,PI195754
MAC Field Scanner Season 4 Range 10 Column 23,PI329501
MAC Field Scanner Season 4 Range 10 Column 24,PI329501
MAC Field Scanner Season 4 Range 10 Column 25,PI641860
MAC Field Scanner Season 4 Range 10 Column 26,PI641860
MAC Field Scanner Season 4 Range 10 Column 27,PI19770
MAC Field Scanner Season 4 Range 10 Column 28,PI19770
MAC Field Scanner Season 4 Range 10 Column 29,PI144134
MAC Field Scanner Season 4 Range 10 Column 30,PI144134
MAC Field Scanner Season 4 Range 11 Column 3,PI576399
MAC Field Scanner Season 4 Range 11 Column 4,PI576399
MAC Field Scanner Season 4 Range 11 Column 5,PI655978
MAC Field Scanner Season 4 Range 11 Column 6,PI655978
MAC Field Scanner Season 4 Range 11 Column 7,PI180348
MAC Field Scanner Season 4 Range 11 Column 8,PI180348
MAC Field Scanner Season 4 Range 11 Column 9,PI181083
MAC Field Scanner Season 4 Range 11 Column 10,PI181083
MAC Field Scanner Season 4 Range 11 Column 11,PI564163
MAC Field Scanner Season 4 Range 11 Column 12,PI564163
MAC Field Scanner Season 4 Range 11 Column 13,PI656015
MAC Field Scanner Season 4 Range 11 Column 14,PI656015
MAC Field Scanner Season 4 Range 11 Column 15,PI534165
MAC Field Scanner Season 4 Range 11 Column 16,PI534165
MAC Field Scanner Season 4 Range 11 Column 17,PI52606
MAC Field Scanner Season 4 Range 11 Column 18,PI52606
MAC Field Scanner Season 4 Range 11 Column 19,PI561840
MAC Field Scanner Season 4 Range 11 Column 20,PI561840
MAC Field Scanner Season 4 Range 11 Column 21,PI533792
MAC Field Scanner Season 4 Range 11 Column 22,PI533792
MAC Field Scanner Season 4 Range 11 Column 23,PI656065
MAC Field Scanner Season 4 Range 11 Column 24,PI656065
MAC Field Scanner Season 4 Range 11 Column 25,PI535793
MAC Field Scanner Season 4 Range 11 Column 26,PI535793
MAC Field Scanner Season 4 Range 11 Column 27,PI535794
MAC Field Scanner Season 4 Range 11 Column 28,PI535794
MAC Field Scanner Season 4 Range 11 Column 29,PI535796
MAC Field Scanner Season 4 Range 11 Column 30,PI535796
MAC Field Scanner Season 4 Range 12 Column 3,PI533998
MAC Field Scanner Season 4 Range 12 Column 4,PI533998
MAC Field Scanner Season 4 Range 12 Column 5,PI253986
MAC Field Scanner Season 4 Range 12 Column 6,PI253986
MAC Field Scanner Season 4 Range 12 Column 7,PI655983
MAC Field Scanner Season 4 Range 12 Column 8,PI655983
MAC Field Scanner Season 4 Range 12 Column 9,PI181080
MAC Field Scanner Season 4 Range 12 Column 10,PI181080
MAC Field Scanner Season 4 Range 12 Column 11,PI221548
MAC Field Scanner Season 4 Range 12 Column 12,PI221548
MAC Field Scanner Season 4 Range 12 Column 13,PI213900
MAC Field Scanner Season 4 Range 12 Column 14,PI213900
MAC Field Scanner Season 4 Range 12 Column 15,PI641836
MAC Field Scanner Season 4 Range 12 Column 16,PI641836
MAC Field Scanner Season 4 Range 12 Column 17,PI35038
MAC Field Scanner Season 4 Range 12 Column 18,PI35038
MAC Field Scanner Season 4 Range 12 Column 19,PI562981
MAC Field Scanner Season 4 Range 12 Column 20,PI562981
MAC Field Scanner Season 4 Range 12 Column 21,PI569443
MAC Field Scanner Season 4 Range 12 Column 22,PI569443
MAC Field Scanner Season 4 Range 12 Column 23,PI641829
MAC Field Scanner Season 4 Range 12 Column 24,PI641829
MAC Field Scanner Season 4 Range 12 Column 25,PI641824
MAC Field Scanner Season 4 Range 12 Column 26,PI641824
MAC Field Scanner Season 4 Range 12 Column 27,PI570109
MAC Field Scanner Season 4 Range 12 Column 28,PI570109
MAC Field Scanner Season 4 Range 12 Column 29,PI641825
MAC Field Scanner Season 4 Range 12 Column 30,PI641825
MAC Field Scanner Season 4 Range 13 Column 3,PI297171
MAC Field Scanner Season 4 Range 13 Column 4,PI297171
MAC Field Scanner Season 4 Range 13 Column 5,PI330833
MAC Field Scanner Season 4 Range 13 Column 6,PI330833
MAC Field Scanner Season 4 Range 13 Column 7,PI569244
MAC Field Scanner Season 4 Range 13 Column 8,PI569244
MAC Field Scanner Season 4 Range 13 Column 9,PI586443
MAC Field Scanner Season 4 Range 13 Column 10,PI586443
MAC Field Scanner Season 4 Range 13 Column 11,PI562994
MAC Field Scanner Season 4 Range 13 Column 12,PI562994
MAC Field Scanner Season 4 Range 13 Column 13,PI329711
MAC Field Scanner Season 4 Range 13 Column 14,PI329711
MAC Field Scanner Season 4 Range 13 Column 15,PI329480
MAC Field Scanner Season 4 Range 13 Column 16,PI329480
MAC Field Scanner Season 4 Range 13 Column 17,PI329585
MAC Field Scanner Season 4 Range 13 Column 18,PI329585
MAC Field Scanner Season 4 Range 13 Column 19,PI152862
MAC Field Scanner Season 4 Range 13 Column 20,PI152862
MAC Field Scanner Season 4 Range 13 Column 21,PI152967
MAC Field Scanner Season 4 Range 13 Column 22,PI152967
MAC Field Scanner Season 4 Range 13 Column 23,PI514456
MAC Field Scanner Season 4 Range 13 Column 24,PI514456
MAC Field Scanner Season 4 Range 13 Column 25,PI563032
MAC Field Scanner Season 4 Range 13 Column 26,PI563032
MAC Field Scanner Season 4 Range 13 Column 27,PI154844
MAC Field Scanner Season 4 Range 13 Column 28,PI154844
MAC Field Scanner Season 4 Range 13 Column 29,PI156268
MAC Field Scanner Season 4 Range 13 Column 30,PI156268
MAC Field Scanner Season 4 Range 14 Column 3,PI330182
MAC Field Scanner Season 4 Range 14 Column 4,PI330182
MAC Field Scanner Season 4 Range 14 Column 5,PI505717
MAC Field Scanner Season 4 Range 14 Column 6,PI505717
MAC Field Scanner Season 4 Range 14 Column 7,PI562985
MAC Field Scanner Season 4 Range 14 Column 8,PI562985
MAC Field Scanner Season 4 Range 14 Column 9,PI562997
MAC Field Scanner Season 4 Range 14 Column 10,PI562997
MAC Field Scanner Season 4 Range 14 Column 11,PI329550
MAC Field Scanner Season 4 Range 14 Column 12,PI329550
MAC Field Scanner Season 4 Range 14 Column 13,PI329618
MAC Field Scanner Season 4 Range 14 Column 14,PI329618
MAC Field Scanner Season 4 Range 14 Column 15,PI455307
MAC Field Scanner Season 4 Range 14 Column 16,PI455307
MAC Field Scanner Season 4 Range 14 Column 17,PI251672
MAC Field Scanner Season 4 Range 14 Column 18,PI251672
MAC Field Scanner Season 4 Range 14 Column 19,PI196583
MAC Field Scanner Season 4 Range 14 Column 20,PI196583
MAC Field Scanner Season 4 Range 14 Column 21,PI570393
MAC Field Scanner Season 4 Range 14 Column 22,PI570393
MAC Field Scanner Season 4 Range 14 Column 23,PI329605
MAC Field Scanner Season 4 Range 14 Column 24,PI329605
MAC Field Scanner Season 4 Range 14 Column 25,PI563222
MAC Field Scanner Season 4 Range 14 Column 26,PI563222
MAC Field Scanner Season 4 Range 14 Column 27,PI156326
MAC Field Scanner Season 4 Range 14 Column 28,PI156326
MAC Field Scanner Season 4 Range 14 Column 29,PI641850
MAC Field Scanner Season 4 Range 14 Column 30,PI641850
MAC Field Scanner Season 4 Range 15 Column 3,PI329645
MAC Field Scanner Season 4 Range 15 Column 4,PI329645
MAC Field Scanner Season 4 Range 15 Column 5,PI570114
MAC Field Scanner Season 4 Range 15 Column 6,PI570114
MAC Field Scanner Season 4 Range 15 Column 7,PI156890
MAC Field Scanner Season 4 Range 15 Column 8,PI156890
MAC Field Scanner Season 4 Range 15 Column 9,PI569418
MAC Field Scanner Season 4 Range 15 Column 10,PI569418
MAC Field Scanner Season 4 Range 15 Column 11,PI583832
MAC Field Scanner Season 4 Range 15 Column 12,PI583832
MAC Field Scanner Season 4 Range 15 Column 13,PI152971
MAC Field Scanner Season 4 Range 15 Column 14,PI152971
MAC Field Scanner Season 4 Range 15 Column 15,PI329864
MAC Field Scanner Season 4 Range 15 Column 16,PI329864
MAC Field Scanner Season 4 Range 15 Column 17,PI329301
MAC Field Scanner Season 4 Range 15 Column 18,PI329301
MAC Field Scanner Season 4 Range 15 Column 19,PI513898
MAC Field Scanner Season 4 Range 15 Column 20,PI513898
MAC Field Scanner Season 4 Range 15 Column 21,PI329466
MAC Field Scanner Season 4 Range 15 Column 22,PI329466
MAC Field Scanner Season 4 Range 15 Column 23,PI154944
MAC Field Scanner Season 4 Range 15 Column 24,PI154944
MAC Field Scanner Season 4 Range 15 Column 25,PI273465
MAC Field Scanner Season 4 Range 15 Column 26,PI273465
MAC Field Scanner Season 4 Range 15 Column 27,PI620157
MAC Field Scanner Season 4 Range 15 Column 28,PI620157
MAC Field Scanner Season 4 Range 15 Column 29,PI506030
MAC Field Scanner Season 4 Range 15 Column 30,PI506030
MAC Field Scanner Season 4 Range 16 Column 3,PI152727
MAC Field Scanner Season 4 Range 16 Column 4,PI152727
MAC Field Scanner Season 4 Range 16 Column 5,PI569886
MAC Field Scanner Season 4 Range 16 Column 6,PI569886
MAC Field Scanner Season 4 Range 16 Column 7,PI562970
MAC Field Scanner Season 4 Range 16 Column 8,PI562970
MAC Field Scanner Season 4 Range 16 Column 9,PI506069
MAC Field Scanner Season 4 Range 16 Column 10,PI506069
MAC Field Scanner Season 4 Range 16 Column 11,PI329546
MAC Field Scanner Season 4 Range 16 Column 12,PI329546
MAC Field Scanner Season 4 Range 16 Column 13,PI152651
MAC Field Scanner Season 4 Range 16 Column 14,PI152651
MAC Field Scanner Season 4 Range 16 Column 15,PI563022
MAC Field Scanner Season 4 Range 16 Column 16,PI563022
MAC Field Scanner Season 4 Range 16 Column 17,PI566819
MAC Field Scanner Season 4 Range 16 Column 18,PI566819
MAC Field Scanner Season 4 Range 16 Column 19,PI569465
MAC Field Scanner Season 4 Range 16 Column 20,PI569465
MAC Field Scanner Season 4 Range 16 Column 21,PI585966
MAC Field Scanner Season 4 Range 16 Column 22,PI585966
MAC Field Scanner Season 4 Range 16 Column 23,PI570076
MAC Field Scanner Season 4 Range 16 Column 24,PI570076
MAC Field Scanner Season 4 Range 16 Column 25,PI146890
MAC Field Scanner Season 4 Range 16 Column 26,PI146890
MAC Field Scanner Season 4 Range 16 Column 27,PI570254
MAC Field Scanner Season 4 Range 16 Column 28,PI570254
MAC Field Scanner Season 4 Range 16 Column 29,PI562991
MAC Field Scanner Season 4 Range 16 Column 30,PI562991
MAC Field Scanner Season 4 Range 17 Column 3,PI329541
MAC Field Scanner Season 4 Range 17 Column 4,PI329541
MAC Field Scanner Season 4 Range 17 Column 5,PI329702
MAC Field Scanner Season 4 Range 17 Column 6,PI329702
MAC Field Scanner Season 4 Range 17 Column 7,PI570090
MAC Field Scanner Season 4 Range 17 Column 8,PI570090
MAC Field Scanner Season 4 Range 17 Column 9,PI329394
MAC Field Scanner Season 4 Range 17 Column 10,PI329394
MAC Field Scanner Season 4 Range 17 Column 11,PI570400
MAC Field Scanner Season 4 Range 17 Column 12,PI570400
MAC Field Scanner Season 4 Range 17 Column 13,PI157030
MAC Field Scanner Season 4 Range 17 Column 14,PI157030
MAC Field Scanner Season 4 Range 17 Column 15,PI569264
MAC Field Scanner Season 4 Range 17 Column 16,PI569264
MAC Field Scanner Season 4 Range 17 Column 17,PI229841
MAC Field Scanner Season 4 Range 17 Column 18,PI229841
MAC Field Scanner Season 4 Range 17 Column 19,PI569420
MAC Field Scanner Season 4 Range 17 Column 20,PI569420
MAC Field Scanner Season 4 Range 17 Column 21,PI196049
MAC Field Scanner Season 4 Range 17 Column 22,PI196049
MAC Field Scanner Season 4 Range 17 Column 23,PI505735
MAC Field Scanner Season 4 Range 17 Column 24,PI505735
MAC Field Scanner Season 4 Range 17 Column 25,PI586541
MAC Field Scanner Season 4 Range 17 Column 26,PI586541
MAC Field Scanner Season 4 Range 17 Column 27,PI152860
MAC Field Scanner Season 4 Range 17 Column 28,PI152860
MAC Field Scanner Season 4 Range 17 Column 29,PI455301
MAC Field Scanner Season 4 Range 17 Column 30,PI455301
MAC Field Scanner Season 4 Range 18 Column 3,PI570042
MAC Field Scanner Season 4 Range 18 Column 4,PI570042
MAC Field Scanner Season 4 Range 18 Column 5,PI196598
MAC Field Scanner Season 4 Range 18 Column 6,PI196598
MAC Field Scanner Season 4 Range 18 Column 7,PI540518
MAC Field Scanner Season 4 Range 18 Column 8,PI540518
MAC Field Scanner Season 4 Range 18 Column 9,PI656035
MAC Field Scanner Season 4 Range 18 Column 10,PI656035
MAC Field Scanner Season 4 Range 18 Column 11,PI217691
MAC Field Scanner Season 4 Range 18 Column 12,PI217691
MAC Field Scanner Season 4 Range 18 Column 13,PI570047
MAC Field Scanner Season 4 Range 18 Column 14,PI570047
MAC Field Scanner Season 4 Range 18 Column 15,PI145633
MAC Field Scanner Season 4 Range 18 Column 16,PI145633
MAC Field Scanner Season 4 Range 18 Column 17,PI535785
MAC Field Scanner Season 4 Range 18 Column 18,PI535785
MAC Field Scanner Season 4 Range 18 Column 19,PI646266
MAC Field Scanner Season 4 Range 18 Column 20,PI646266
MAC Field Scanner Season 4 Range 18 Column 21,PI641862
MAC Field Scanner Season 4 Range 18 Column 22,PI641862
MAC Field Scanner Season 4 Range 18 Column 23,PI655981
MAC Field Scanner Season 4 Range 18 Column 24,PI655981
MAC Field Scanner Season 4 Range 18 Column 25,PI641817
