sitename,cultivar
MAC Field Scanner Season 6 Range 11 Column 9,PI273465
MAC Field Scanner Season 6 Range 11 Column 10,PI329519
MAC Field Scanner Season 6 Range 11 Column 11,PI455307
MAC Field Scanner Season 6 Range 11 Column 12,PI229841
MAC Field Scanner Season 6 Range 11 Column 13,PI651491
MAC Field Scanner Season 6 Range 11 Column 14,PI569462
MAC Field Scanner Season 6 Range 11 Column 15,PI563350
MAC Field Scanner Season 6 Range 11 Column 16,SP1516
MAC Field Scanner Season 6 Range 12 Column 1,SP1516
MAC Field Scanner Season 6 Range 12 Column 2,PI563002
MAC Field Scanner Season 6 Range 12 Column 3,PI641817
MAC Field Scanner Season 6 Range 12 Column 4,PI576401
MAC Field Scanner Season 6 Range 12 Column 5,PI655972
MAC Field Scanner Season 6 Range 12 Column 6,PI329435
MAC Field Scanner Season 6 Range 12 Column 7,PI576399
MAC Field Scanner Season 6 Range 12 Column 8,PI593916
MAC Field Scanner Season 6 Range 12 Column 9,PI35038
MAC Field Scanner Season 6 Range 12 Column 10,PI533902
MAC Field Scanner Season 6 Range 12 Column 11,PI513898
MAC Field Scanner Season 6 Range 12 Column 12,PI656065
MAC Field Scanner Season 6 Range 12 Column 13,PI569422
MAC Field Scanner Season 6 Range 12 Column 14,PI651496
MAC Field Scanner Season 6 Range 12 Column 15,PI329614
MAC Field Scanner Season 6 Range 12 Column 16,SP1516
MAC Field Scanner Season 6 Range 13 Column 1,SP1516
MAC Field Scanner Season 6 Range 13 Column 2,PI297171
MAC Field Scanner Season 6 Range 13 Column 3,PI562732
MAC Field Scanner Season 6 Range 13 Column 4,PI656035
MAC Field Scanner Season 6 Range 13 Column 5,PI620072
MAC Field Scanner Season 6 Range 13 Column 6,PI562982
MAC Field Scanner Season 6 Range 13 Column 7,PI156487
MAC Field Scanner Season 6 Range 13 Column 8,PI157035
MAC Field Scanner Season 6 Range 13 Column 9,PI585454
MAC Field Scanner Season 6 Range 13 Column 10,PI641810
MAC Field Scanner Season 6 Range 13 Column 11,PI569452
MAC Field Scanner Season 6 Range 13 Column 12,PI144134
MAC Field Scanner Season 6 Range 13 Column 13,PI329286
MAC Field Scanner Season 6 Range 13 Column 14,PI276837
MAC Field Scanner Season 6 Range 13 Column 15,PI570087
MAC Field Scanner Season 6 Range 13 Column 16,SP1516
MAC Field Scanner Season 6 Range 14 Column 1,SP1516
MAC Field Scanner Season 6 Range 14 Column 2,PI218112
